ssps,ownerName,ownerScreenId,venueTypes,locationType,country,state,dma,city,zip,adTypes,resolutions,durations,screenName,facing,link,address,avgDwellTime,avgImpressionMultiplier,avgWeeklyImpressions,avgCpm,restrictions,lat,lng,count
Place Exchange,Clear Channel Outdoor Brazil,RIO23,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22407,"Image, Silent Video",400x600,10,,,,Rua Visconde De Piraja Esquina Com Rua Dos Jangadeiros,,1.0,302014,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9847,-43.1967,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO52,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22279,"Image, Silent Video",400x600,10,,,,Avenida Nacoes Unidas - Praça Pimentel Duarte,,1.0,484771,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.949381,-43.180776,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO21,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22617,"Image, Silent Video",400x600,10,,,,"Auto Estrada Lagoa Barra, Antes Do Último Retorno",,1.0,323588,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9998,-43.273087,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO18,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22407,"Image, Silent Video",400x600,10,,,,"Rua Visconde De Pirajá, 452",,1.0,334506,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.984115,-43.208536,N/A
Place Exchange,Clear Channel Outdoor Brazil,RDJ14,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22211,"Image, Silent Video",400x600,10,,,,"Rua Jardim Botânico, Esquina Com Rua Maria Angélica",,21.8253968253968,220000,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9228,-43.177,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO94,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22420,"Image, Silent Video",400x600,10,,,,Avenida Vieira Souto Esquina Com Rua Garcia D'ávila,,1.0,484771,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9863,-43.2094,N/A
Place Exchange,Clear Channel Outdoor Brazil,RDJ20,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22081,"Image, Silent Video",400x600,10,,,,"Rua Teodoro Da Silva, Em Frente Ao Shopping Iguatemi",,21.8253968253968,220000,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9848,-43.1899,N/A
Place Exchange,Clear Channel Outdoor Brazil,RDJ01,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22440,"Image, Silent Video",400x600,10,,,,"Rua Voluntários Da Pátria, Nº 110",,21.8253968253968,220000,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9841,-43.221,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO39,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22407,"Image, Silent Video",400x600,10,,,,Avenida Epitácio Pessoa Em Frente A Rua Garcia D'ávila,,1.0,215512,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9806,-43.2092,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO20,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22279,"Image, Silent Video",400x600,10,,,,"Avenida Heitor Beltrao, 30m Apos O N. 46",,1.0,100424,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.920845,-43.222838,N/A
